28.788,57.572,97.714,57.116,98.27,141.12,29.344,141.58
32.0,60.0,101.0,60.0,101.0,145.0,32.0,145.0
37.0,67.0,106.0,67.0,106.0,152.0,37.0,152.0
40.0,72.0,109.0,72.0,109.0,157.0,40.0,157.0
48.0,78.0,117.0,78.0,117.0,163.0,48.0,163.0
59.0,79.0,128.0,79.0,128.0,164.0,59.0,164.0
71.0,81.0,140.0,81.0,140.0,166.0,71.0,166.0
79.0,82.0,148.0,82.0,148.0,167.0,79.0,167.0
85.0,87.0,154.0,87.0,154.0,172.0,85.0,172.0
96.0,91.0,165.0,91.0,165.0,176.0,96.0,176.0
106.0,92.0,175.0,92.0,175.0,177.0,106.0,177.0
113.0,92.0,182.0,92.0,182.0,177.0,113.0,177.0
118.0,90.0,187.0,90.0,187.0,175.0,118.0,175.0
125.0,88.0,194.0,88.0,194.0,173.0,125.0,173.0
130.0,84.0,199.0,84.0,199.0,169.0,130.0,169.0
135.0,80.0,204.0,80.0,204.0,165.0,135.0,165.0
141.0,77.0,210.0,77.0,210.0,162.0,141.0,162.0
148.0,74.0,217.0,74.0,217.0,159.0,148.0,159.0
157.0,71.0,226.0,71.0,226.0,156.0,157.0,156.0
170.0,70.0,239.0,70.0,239.0,155.0,170.0,155.0
187.0,70.0,256.0,70.0,256.0,155.0,187.0,155.0
204.0,69.0,273.0,69.0,273.0,154.0,204.0,154.0
221.0,68.0,290.0,68.0,290.0,153.0,221.0,153.0
237.0,68.0,306.0,68.0,306.0,153.0,237.0,153.0
251.0,68.0,320.0,68.0,320.0,153.0,251.0,153.0
266.0,69.0,335.0,69.0,335.0,154.0,266.0,154.0
277.0,68.0,346.0,68.0,346.0,153.0,277.0,153.0
285.0,67.0,354.0,67.0,354.0,152.0,285.0,152.0
287.0,65.0,356.0,65.0,356.0,150.0,287.0,150.0
287.0,64.0,356.0,64.0,356.0,149.0,287.0,149.0
280.0,65.0,349.0,65.0,349.0,150.0,280.0,150.0
270.0,66.0,339.0,66.0,339.0,151.0,270.0,151.0
255.0,66.0,324.0,66.0,324.0,151.0,255.0,151.0
240.0,64.0,309.0,64.0,309.0,149.0,240.0,149.0
225.0,63.0,294.0,63.0,294.0,148.0,225.0,148.0
209.0,63.0,278.0,63.0,278.0,148.0,209.0,148.0
191.0,67.0,260.0,67.0,260.0,152.0,191.0,152.0
